event_id,category,type,URL,IP,domain,HASH,comment,attribute_tag
10437,Network activity,domain,,,04042023.ru,,,
10437,Network activity,domain,,,activedebian.ru,,,
10437,Network activity,domain,,,activehdd.ru,,,
10437,Network activity,domain,,,activessd.ru,,,
10437,Network activity,domain,,,activessd6.ru,,,
10437,Network activity,domain,,,chistauyavoda.ru,,,
10437,Network activity,domain,,,click7adilla.ru,,,
10437,Network activity,domain,,,clickaineasdfer.ru,,,
10437,Network activity,domain,,,evatds.ru,,,
10437,Network activity,domain,,,grhfgetraeg6yrt.site,,,
10437,Network activity,domain,,,moskovpizda.ru,,,
10437,Network activity,domain,,,oled8kultra.ru,,,
10437,Network activity,domain,,,oled8kultra.site,,,
10437,Network activity,domain,,,pochelvpizdy.ru,,,
10437,Network activity,domain,,,qqtube.ru,,,
10437,Network activity,domain,,,shluhapizdec.ru,,,
10437,Network activity,domain,,,xhamster-18.ru,,,
10437,Network activity,domain,,,xxxxxxxxxxxxxxx.ru,,,
10442,Network activity,domain,,,ber6vjyb.com,,,
10442,Network activity,domain,,,decrypt.support,,,
10452,Network activity,domain,,,chromei.org,,,
10453,Network activity,domain,,,hkpomcx622gnqp2qhenv4ceyrhwvld3zwogr4mnkdeudq2txf55keoad.onion,,,
10456,Network activity,domain,,,submit-form.com,,,
10456,Network activity,domain,,,unitedmerchantbank.com,,,
10456,Network activity,domain,,,,,,
10456,Network activity,domain,,,dkglobaljobs.com,,,
10460,Network activity,domain,,,kbowlingslaw.com,,,
10461,Network activity,domain,,,kbowlingslaw.com,,,
10481,Network activity,domain,,,storeapp.site,,,
10481,Network activity,domain,,,cpec.site,,,
10481,Network activity,domain,,,paf-govt.net,,,
10481,Network activity,domain,,,downld.net,,,
10481,Network activity,domain,,,shortney.org,,,
10481,Network activity,domain,,,sbp-pk.org,,,
10481,Network activity,domain,,,sindhpolice-govpk.org,,,
10481,Network activity,domain,,,bluedoor.click,,,
10481,Network activity,domain,,,helpdesk-gov.info,,,
10490,Network activity,domain,,,curveroad.com,,,
10491,Network activity,domain,,,deltaproject.us,,,Activity Indicator
10492,Network activity,domain,,,frge.io,,,Activity Indicator
10492,Network activity,domain,,,ekoia.io,,,Activity Indicator
10514,Network activity,domain,,,,,,
10517,Network activity,domain,,,masherofmasters.cyou,,,Activity Indicator
10518,Network activity,domain,,,aicsoftware.com,,,
10518,Network activity,domain,,,curabiebarristie.com,,,
